Tunca Toskay,"",Nationalist Movement Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Günal,"",Nationalist Movement Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Yusuf Ziya İrbeç,"",Nationalist Movement Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İsrafil Kışla,"",Justice and Development Party,Artvin,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Uğur Bayraktutan,"",Republican People's Party,Artvin,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Erdem,"",Justice and Development Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Semiha Öğüş,"",Justice and Development Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Gültekin Kılınç,"",Justice and Development Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bülent Tezcan,"",Republican People's Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Metin Lütfi Baydar,http://en.wikipedia.org/wiki/Metin_L%C3%BCtfi_Baydar,Republican People's Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Osman Aydın,"",Republican People's Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ali Uzunırmak,"",Nationalist Movement Party,Aydın,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ahmet Edip Uğur,"",Justice and Development Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Cemal Öztaylan,"",Justice and Development Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Tülay Babuşçu,http://en.wikipedia.org/wiki/T%C3%BClay_Babu%C5%9F%C3%A7u,Justice and Development Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ali Aydınlıoğlu,"",Justice and Development Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Namık Havutça,"",Republican People's Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nedret Akova,"",Republican People's Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Haluk Ahmet Gümüş,"",Republican People's Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ahmet Duran Bulut,"",Nationalist Movement Party,Balıkesir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Fahrettin Poyraz,"",Justice and Development Party,Bilecik,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bahattin Şeker,"",Nationalist Movement Party,Bilecik,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cevdet Yılmaz,http://en.wikipedia.org/wiki/Cevdet_Y%C4%B1lmaz,Justice and Development Party,Bingöl,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Eşref Taş,"",Justice and Development Party,Bingöl,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İdris Baluken,"",Independent,Bingöl,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Vedat Demiröz,"",Justice and Development Party,Bitlis,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Vahit Kiler,"",Justice and Development Party,Bitlis,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hüsamettin Zenderlioğlu,"",Independent,Bitlis,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ali Ercoşkun,"",Justice and Development Party,Bolu,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Fehmi Küpçü,"",Justice and Development Party,Bolu,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Tanju Özcan,"",Republican People's Party,Bolu,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bayram Özçelik,"",Justice and Development Party,Burdur,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hasan Hami Yıldırım,"",Justice and Development Party,Burdur,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ramazan Kerim Özkan,"",Republican People's Party,Burdur,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bülent Arınç,http://en.wikipedia.org/wiki/B%C3%BClent_Ar%C4%B1n%C3%A7,Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mustafa Öztürk,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hüseyin Şahin,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Canan Candemir Çelik,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İsmet Su,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mustafa Kemal Şerbetçioğlu,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hakan Çavuşoğlu,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İsmail Aydın,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Tülin Kara,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bedrettin Yıldırım,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Önder Matlı,"",Justice and Development Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Sena Kaleli,"",Republican People's Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Turhan Tayan,"",Republican People's Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İlhan Demiröz,"",Republican People's Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Kemal Ekinci,"",Republican People's Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İsmet Büyükataman,"",Nationalist Movement Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Necati Özensoy,"",Nationalist Movement Party,Bursa,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Daniş,"",Justice and Development Party,Çanakkale,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İsmail Kaşdemir,"",Justice and Development Party,Çanakkale,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ali Sarıbaş,"",Republican People's Party,Çanakkale,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Serdar Soydan,"",Republican People's Party,Çanakkale,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İdris Şahin,"",Justice and Development Party,Çankırı,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hüseyin Filiz,"",Justice and Development Party,Çankırı,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Salim Uslu,"",Justice and Development Party,Çorum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cahit Bağcı,"",Justice and Development Party,Çorum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Murat Yıldırım,http://en.wikipedia.org/wiki/Murat_Y%C4%B1ld%C4%B1r%C4%B1m,Justice and Development Party,Çorum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Tufan Köse,"",Republican People's Party,Çorum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nihat Zeybekci,http://en.wikipedia.org/wiki/Nihat_Zeybekci,Justice and Development Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Yüksel,"",Justice and Development Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bilal Uçar,"",Justice and Development Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nurcan Dalbudak,"",Justice and Development Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Adnan Keskin,"",Republican People's Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İlhan Cihaner,http://en.wikipedia.org/wiki/%C4%B0lhan_Cihaner,Republican People's Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Emin Haluk Ayhan,"",Nationalist Movement Party,Denizli,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Mehdi Eker,http://en.wikipedia.org/wiki/Mehmet_Mehdi_Eker,Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Galip Ensarioğlu,"",Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mine Lök Beyaz,"",Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Süleyman Hamzaoğulları,"",Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cuma İçten,"",Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Oya Eronat,"",Justice and Development Party,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Leyla Zana,http://en.wikipedia.org/wiki/Leyla_Zana,Independent,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Emine Ayna,http://en.wikipedia.org/wiki/Emine_Ayna,Independent,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
